Trek,Cost,Time,Trip Grade,Max Altitude,Accommodation,Best Travel Time,Contact or Book your Trip
Everest Base Camp Trek,"$1,420",16 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
Everest Base Camp Short Trek,"$1,295",14 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
Everest Base Camp Heli Shuttle Trek,"$2,000",12 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
Everest Base Camp Heli Trek,"$3,300",11 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
Everest Base Camp Trek for Seniors,"$1,800",20 Days,Moderate,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
Everest Chola Pass Trek,"$1,720",19 Days,Strenuous,5545 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
Gokyo Lake Renjo La Pass Trek,"$1,450",16 Days,Moderate,5360 m,Hotel/Guesthouse,March - May & Sept - Dec.,https://www.nepalhikingteam.com
Everest High Passes Trek,"$1,950",22 Days,Strenuous,5545 m,Hotel/Guesthouse,April - May & Sept - Nov,https://www.nepalhikingteam.com
Short Everest Trek,"$1,060",7 Days,Easy To Moderate,3900 m,Hotel/Guesthouse,March - May & Sept - Dec.,https://www.nepalhikingteam.com
Everest Panorama Trek,"$1,150",10 Days,Easy To Moderate,3860 m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
Everest View Trek,"$1,100",9 Days,Easy To Moderate,3860 m,Hotel/Guesthouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
Luxury Everest Base Camp Heli Trek,"$4,200",11 Days,Moderate,5545 m,Hotel/Teahouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
Everest Base Camp Trek with Chola and Renjo La Pass,"$1,900",21 Days,Strenuous,5545 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
Annapurna Base Camp Trek,"$1,090",14 Days,Moderate,4210 m,Hotel/Guesthouse,March - May & Sept - Dec,https://www.nepalhikingteam.com
Annapurna Base Camp Short Trek,"$1,090",11 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
Instant Annapurna Base Camp Trek,$980,9 Days,Moderate,4230 m,Hotel/Guest Houses,March - May & Sept - Dec.,https://www.nepalhikingteam.com
Annapurna Base Camp Heli Trek,"$1,750",9 Days,Easy To Moderate,4210 m,Hotel/Teahouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
Mardi Himal Trek,$850,9 Days,Easy To Moderate,4200 m,Hotel/Guesthouses,March - May & Sept - Dec,https://www.nepalhikingteam.com
Mardi Himal Trekking,$850,8 Days,Easy To Moderate,4200 m,Hotel/Guesthouse,March-May & Sept-Dec.,https://www.nepalhikingteam.com
Classic Annapurna Circuit Trek,"$1,350",18 Days,Moderate,5416 m,Hotel/Teahouses,March - May & Sept - Nov,https://www.nepalhikingteam.com
Annapurna Circuit Trek,"$1,250",14 Days,Moderate,5416 m,Hotel/Teahouses,March-May & Sept-Dec,https://www.nepalhikingteam.com
Annapurna Circuit Short Trek,"$1,250",12 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov.,https://www.nepalhikingteam.com
Annapurna Luxury Trek,"$1,450",9 Days,Easy To Moderate,2012 m,Hotel/Luxury Lodges,March - May & Setpt - Dec,https://www.nepalhikingteam.com
Annapurna Panorama Trek,$860,9 Days,Easy,3210 m,Hotel/Teahouse,Jan - May & Sept - Dec,https://www.nepalhikingteam.com
Annapurna Tilicho Lake Trek,"$1,450",17 Days,Strenuous,5416 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
Short Annapurna Trek,$590,5 Days,Easy,1990 m,Hotel/Lodges,Jan- May & Sept - Dec,https://www.nepalhikingteam.com
Manaslu Circuit Trek,"$1,450",15 Days,Strenuous,5106 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
Manaslu Circuit Trekking,"$1,380",14 Days,Moderate,5220 m,Hotel/Teahouses,March - May & Setpt - Nov,https://www.nepalhikingteam.com
Tsum Valley with Manaslu Trek,"$1,850",20 Days,Strenuous,5220 m,Hotel/Guesthouse,March - May & Sept - Nov,https://www.nepalhikingteam.com
